gh_team_size,gh_num_issue_comments,gh_num_commit_comments,gh_num_pr_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_testduration,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_description_complexity,tr_jobs,gh_num_commits_on_files_touched,gh_sloc,tr_log_setup_time,tr_log_buildduration,gh_is_pr,tr_log_bool_tests_ran,tr_log_bool_tests_failed,gh_by_core_team_member,tr_duration
80,,0,,24,0,0,0,1,0,0,1,0,0,,,,,,258.420089301328,0.238991804329832,2.87955978875456,,"[40067038, 40067039, 40067040, 40067041, 40067042, 40067043, 40067044, 40067045, 40067046]",83,171554,,,false,false,,true,165
91,,5,,14,0,0,0,1,0,0,1,0,0,,,,,,269.765012337024,0.20618981834677,3.03099032969752,,"[13808931, 13808932, 13808933, 13808934, 13808935, 13808936]",199,145497,,,false,false,,true,1949
91,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,269.628042415252,0.206032635569474,3.02867974287127,,"[13825068, 13825069, 13825070, 13825071, 13825072, 13825073]",33,145608,,,false,false,,true,1923
91,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,269.628042415252,0.206032635569474,3.02867974287127,,"[13825068, 13825069, 13825070, 13825071, 13825072, 13825073]",33,145608,,,false,false,,true,1923
91,,0,,0,3,0,0,1,0,0,1,0,0,,,,,,269.628042415252,0.206032635569474,3.02867974287127,,"[13869343, 13869344, 13869345, 13869346, 13869347, 13869348]",14,145608,,,false,false,,true,2621
82,,0,,28,0,0,0,4,0,0,4,0,0,,,,,,258.564480161076,0.23997518305424,2.89140830314133,,"[40712264, 40712265, 40712266, 40712267, 40712268, 40712269, 40712270, 40712271, 40712272]",63,170851,,,false,false,,true,2440
77,1,0,0,2,0,0,0,1,0,0,1,0,0,,,,,,259.694513141826,0.208649119684817,2.93949789203022,44.0,"[30757646, 30757647, 30757648, 30757649, 30757650, 30757651, 30757652, 30757653, 30757654]",108,162953,,,true,false,,true,2195
79,,0,,17,47,3,0,4,0,0,5,0,2,,,,,,301.002617492822,1.04156288775575,8.30533189627845,,"[71266401, 71266402, 71266403, 71266404, 71266405, 71266406, 71266407, 71266408, 71266409, 71266410, 71266411]",87,110411,2,,false,false,,true,2051
93,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,269.022427666496,0.205444273240883,3.03372710152371,,"[14336584, 14336585, 14336586, 14336587, 14336588, 14336589]",13,146025,,,false,false,,true,3186
92,,0,,2,0,0,0,1,0,0,1,0,0,,,,,,269.015058652733,0.205438645748447,3.03364400221874,,"[14492507, 14492508, 14492509, 14492510, 14492511, 14492512]",37,146029,,,false,false,,true,3794
92,,0,,0,0,0,0,1,0,0,0,0,1,,,,,,269.015058652733,0.205438645748447,3.03364400221874,,"[14495715, 14495716, 14495717, 14495718, 14495719, 14495720, 14495721]",36,146029,,,false,false,,true,3946
92,,0,,399,0,0,0,23,0,0,23,0,0,,,,,,269.013216462371,0.205437238923509,3.03362322810381,,"[14496772, 14496773, 14496774, 14496775, 14496776, 14496777, 14496778]",132,146030,,,false,false,,true,4241
92,,0,,8,0,0,0,1,0,0,1,0,0,,,,,,268.932344408561,0.205265750725272,3.03109091904319,,"[14628464, 14628465, 14628466, 14628467, 14628468, 14628469, 14628470]",84,146152,,,false,false,,true,2530
83,0,0,0,54,16,0,0,3,0,0,3,0,0,,,,,,259.082923401265,0.240103068634341,2.91637385804638,34.0,"[41180876, 41180877, 41180878, 41180879, 41180880, 41180881, 41180882, 41180883, 41180884]",31,170760,0,,true,false,,false,2118
